■ 開発
ウォーターフォール開発	開発手順を1つずつ確認しながら工程を進めていく手法
アジャイル開発	クライアントの要望に応えるシステムをできる限り素早くリリースしようという考えに基づいている開発手法
マイグレーション　ソフトウェアやシステム、データなどを別の環境に移転したり、新しい環境に切り替えたりすること
デグレーション	システム開発におけるプログラム修正やインフラ設定の変更等により、それまで正常に動作していた機能が動かなくなること
デプロイ	開発したソフトウェアを実際の運用環境に配置・展開して実用に供すること
コンフリクト	複数の装置やプログラムなどが同じ資源を同時に利用しようとして競合状態になってしまうこと
環境	ある装置やソフトウェアにとって、それが導入されるコンピュータのハードウェアの構成や設定、OSなどソフトウェアの構成や設定、および、それら全体の組み合わせのこと
開発環境（ローカル）	機器やソフトウェア、システムを開発するために必要な機材やソフトウェアなどの組み合わせ
検証環境（ステージング）	開発し終わった、リリース予定の機能をテストするための環境
本番環境	システムが製品として実際に稼動している環境
設計書／仕様書	「どうやって作るの？」を説明した資料	「何を作るの？」を説明した資料
要件定義	システムやソフトウェアの開発において、実装すべき機能や満たすべき性能などを明確にしていく作業のこと
基本設計書	ソフトウェアの動きを外から見た際にどういう動きをするのか？(What)を決めたもの
詳細設計書	基本設計で決められた動きをどうやって実現するか？(How)を決めたもの
テスト	コンピュータのプログラムから仕様にない振舞または欠陥を見つけ出す作業
単体テスト（UT）	プログラムを構成する比較的小さな単位（ユニット）が個々の機能を正しく果たしているかどうかを検証するテスト
結合テスト（CT／IT）	プログラムが全体として正しく動作しているかを検証するテスト
総合テスト（ST）	システム開発におけるプログラムの検証作業の中でも、構築したシステムが全体として予定通りの機能を満たしているかどうかを確認するテスト
エビデンス／証跡	ステム開発のテスト工程などで、システムが正しく動作している、あるいは不具合が生じたことを示す証拠となる書類やデータなど
データパッチ	ソフトウェアを構成するプログラムやデータを更新・修正するために、新しい版との相違点（差分）を抜き出したデータのこと
Access	Microsoft社が開発した「データベース管理ソフト」
マクロ	エクセルの操作を自動化する機能
VBA	マイクロソフトのプログラミング言語「Microsoft Visual Basic」を、同社製品のMicrosoft Officeに搭載したものです。
GAS（Google Apps Script）	Googleのツールやサービスを連携して利用するためのプログラミング言語
API	ソフトウェアからOSの機能を利用するための仕様またはインターフェースの総称
WEB API	広義にはHTTPプロトコルを用いてネットワーク越しに呼び出すアプリケーション間、システム間のインターフェースのこと	
REST API	RESTの原則に則って構築されたWebシステムのHTTPでの呼び出しインターフェースのこと
SOAP	異なるコンピュータ上で動作するプログラム同士がネットワークを通じてメッセージを伝え合い、連携して動作するための通信プロトコル(規約)の一つ
Ajax	JavaScriptを使用して行われる非同期処理
XML	文書やデータの意味や構造を記述するためのマークアップ言語の一つ
JSON	JavaScript のデータ定義文をベースとした、簡易的なデータ定義言語
ステータスコード	HTMLを表示する前にブラウザが受信する3桁の番号
クロスオリジン（Cross-Origin）／CORS（Cross-Origin Resource Sharing）	ブラウザがオリジン( HTMLを読み込んだサーバのこと)以外のサーバからデータを取得する仕組み
バリデーション	対象がその仕様や文法などに照らして適切に記述・構築されているか否かを検証すること
データ連携	異なるアプリケーションやシステムをまたいでデータを共有、活用するために、それぞれの言葉や解釈の垣根を取り払うプロセス
Daemon	UNIX系OSでメインメモリ上に常駐して特定の機能を提供するプログラム
CRON	多くのUNIX系OSで標準的に利用される常駐プログラム(デーモン)の一種で、利用者の設定したスケジュールに従って指定されたプログラムを定期的に起動してくれるもの
バッチ	あらかじめ登録した一連の処理を自動的に実行する処理方式
ログ	コンピュータの利用状況やデータ通信など履歴や情報の記録を取る事、またその記録を指す
CSV	値や項目をカンマ（,）で区切って書いたテキストファイル・データのこと
TSV	文字や文字列の間にタブ記号を挿入して区切りを設けること、あるいは、そのようにして各データを区切って管理するファイル形式
プルリクエスト（マージリクエスト）	コードの変更をレビュワーに通知し、マージを依頼する機能
■ チケット管理ツール
asana	ワークマネジメントツール
Backlog	チームではたらくすべての人が使えるプロジェクト管理ツール
Jooto	カンバン方式のタスク・プロジェクト管理ツール
Readmine	プロジェクト管理ができるオープンソースソフトウェア
Trello	カードを動かしながらタスクを視覚的に管理できるカンバン方式のツール
■ バージョン管理
集中型	ひとつのリポジトリに接続してみんなで使う
分散型	各自、個人のパソコン上にリポジトリを持ち、好きなタイミングで好きなリポジトリに同期する
Github	Gitの仕組みを利用して、世界中の人々が自分の作品(プログラムコードやデザインデータなど)を保存、公開することができるようにしたウェブサービスの名称
Backlog	チームではたらくすべての人が使えるプロジェクト管理ツール
SourceTree	オーストラリアのAtlassian社が提供している無料のGitクライアントソフトウェア
Tortoise SVN	Subversion のクライアントで、Windowsのシェルエクステンションとして機能する
Git Flow	Gitのブランチ操作を自動化するためのツール
master	同種のものが複数ある場合に、優先されるもの、元になるもの、制御する側のものなどを区別するために利用される
release	ソフトウェアの公開や発売のこと
develop	ある目的を達するための技術や仕組み、ソフトウェア（コンピュータプログラム）、装置や機器、それらを組み合わせたコンピュータシステム、サービスなどを作りあげる行為や事業
feature	利用者の視点から見たソフトウェアやシステムの持つ機能・特徴のこと
■ FW／ライブラリ
FW	アプリケーションを開発するとき、その土台として機能させるソフトウェアのこと
Spring Framework	Javaプラットフォーム向けのオープンソースアプリケーションフレームワーク
Struts	Javaを用いてWebアプリケーションを開発するためのフレームワークの一つ
JSF（Java Server Faces）	JavaベースのWebアプリケーションフレームワーク
ライブラリ	汎用性の高い複数のプログラムを再利用可能な形でひとまとまりにしたもの
Bootstrap	Webサイト構築用のCSSひな形セット
Flyway	JVM上で動作するデータベースのマイグレーションツール
Jackson	Java用のJSON パーサーライブラリの１つ
jQuery	ウェブブラウザ用のJavaScriptコードをより容易に記述できるようにするために設計されたJavaScriptライブラリ
Junit	Javaで開発されたプログラムにおいてユニットテスト（単体テスト）の自動化を行うためのフレームワーク
Log4j	Jakarta プロジェクトで開発が進められている Java プログラム用のログ API
Lombok	Java言語におけるボイラープレートコードをソースコードから排除するために使用するライブラリ
ORM	 データベースとオブジェクト指向プログラミング言語の間の非互換なデータを変換するプログラミング技法
■ 連絡ツール
ChatWork	メール、電話、会議・訪問など仕事で必要なコミュニケーションをより効率的にするビジネスチャット
Slack	チャンネルベースのメッセージプラットフォーム
IP Messenger	同一 LAN 環境内に閉じたメッセンジャーのフリーソフト
■ Java
Javadoc	JavaのソースコードからHTML形式のAPI仕様書を生成するもの
アノテーション	あるデータに対して関連する情報（メタデータ）を注釈として付与すること
メモリ管理	コンピュータのメモリを管理するもの
ヒープ	データ構造の一種で、木構造（ツリー構造）のうち、親要素が子要素より常に大きい（あるいは小さい）という条件を満たすもの
GC	コンピュータプログラムが動的に確保したメモリ領域のうち、不要になった領域を自動的に解放する機能
GoF	オブジェクト指向における再利用のためのデザインパターン
デザインパターン	オブジェクト設計において、定石となる手法をパターン化したもの
■ その他
オブジェクト指向	互いに密接に関連するデータと手続き（処理手順）をオブジェクト（object）と呼ばれる一つのまとまりとして定義し、様々なオブジェクトを組み合わせて関連性や相互作用を記述していくことによりシステム全体を構築していく手法
バッチ処理	あらかじめ登録した一連の処理を自動的に実行する処理方式
コンパイル	プログラミング言語で記述されたソフトウェアの設計図（ ソースコード）を、コンピュータが実行可能な形式（オブジェクトコード）に変換する作業
カバレッジ	モノや範囲に対して全体の内どれくらいをカバーいているかを表すための指標
プラットホーム	ある機器やソフトウェアを動作させるのに必要な、基盤となる装置やソフトウェア、サービス、あるいはそれらの組み合わせ（動作環境）のこと
